Player,School,POS,REC,YDS,AVG,LNG,TD
Dakereon Joyner,SC,['RB'],['18'],['108'],['6.0'],['27'],['0']
Keyon Lesane,NCSU,['WR'],['15'],['108'],['7.2'],['38'],['0']
Nicky Dalmolin,DUKE,['TE'],['9'],['108'],['12.0'],['21'],['0']
Elijah Gilliam,FRES,['RB'],['10'],['108'],['10.8'],['32'],['1']
Jonah Burton,BAY,['WR'],['8'],['108'],['13.5'],['27'],['0']
Jeremiah Noga,ORST,['WR'],['7'],['108'],['15.4'],['31'],['1']
Justin Holmes,KENT,['TE'],['13'],['108'],['8.3'],['16'],['0']
Anthony Landphere,MEM,['TE'],['13'],['107'],['8.2'],['21'],['1']
Sieh Bangura,OHIO,['RB'],['14'],['107'],['7.6'],['29'],['1']
Dane Kinamon,AFA,['WR'],['3'],['107'],['35.7'],['94'],['1']
Ladd McConkey,UGA,['WR'],['9'],['107'],['11.9'],['31'],['0']
Jalen Johnson,NIU,['WR'],['13'],['107'],['8.2'],['24'],['1']
Josiah Freeman,FRES,['WR'],['8'],['107'],['13.4'],['29'],['0']
Shane Hooks,AUB,['WR'],['8'],['106'],['13.3'],['32'],['1']
CJ Beasley,CCU,['RB'],['9'],['106'],['11.8'],['26'],['0']
Ryan Marquez,WYO,['WR'],['10'],['106'],['10.6'],['27'],['0']
Trey Cooley,GT,['RB'],['10'],['106'],['10.6'],['55'],['1']
Dillon Bell,UGA,['WR'],['12'],['106'],['8.8'],['17'],['0']
Iverson Hooks,UAB,['WR'],['10'],['106'],['10.6'],['20'],['2']
Chase Lane,GT,['WR'],['6'],['105'],['17.5'],['48'],['1']
Emani Bailey,TCU,['RB'],['14'],['105'],['7.5'],['20'],['0']
Terrance Carter,UL,['TE'],['10'],['105'],['10.5'],['35'],['2']
Gavin Williams,NIU,['RB'],['17'],['104'],['6.1'],['18'],['0']
Sam Olson,SJSU,['TE'],['11'],['104'],['9.5'],['27'],['1']
Tyson Mobley,CCU,['WR'],['7'],['104'],['14.9'],['33'],['0']
Abdul Janneh,GT,['WR'],['5'],['104'],['20.8'],['33'],['2']
Brett Norfleet,MIZ,['TE'],['9'],['104'],['11.6'],['27'],['1']
Kenan Christon,SDSU,['RB'],['16'],['103'],['6.4'],['16'],['0']
Jordyn Bailey,TCU,['WR'],['5'],['103'],['20.6'],['34'],['1']
Johntay Cook II,TEX,['WR'],['4'],['103'],['25.8'],['51'],['0']
Freddie Roberson,MSST,['WR'],['8'],['102'],['12.8'],['36'],['1']
Edward Saydee,TEM,['RB'],['11'],['102'],['9.3'],['16'],['2']
Blaine Green,OKST,['WR'],['13'],['102'],['7.8'],['24'],['0']
Jaylen Wright,TENN,['RB'],['17'],['102'],['6.0'],['20'],['0']
Quinshon Judkins,MISS,['RB'],['12'],['102'],['8.5'],['25'],['1']
Nyck Harbor,SC,['WR'],['4'],['102'],['25.5'],['45'],['1']
Geordon Porter,CONN,['WR'],['10'],['101'],['10.1'],['28'],['1']
Ethan Payne,MRSH,['RB'],['11'],['101'],['9.2'],['35'],['0']
C.J. Smith,UGA,['WR'],['5'],['101'],['20.2'],['47'],['0']
Will Shipley,CLEM,['RB'],['18'],['100'],['5.6'],['18'],['2']
Sterling Galban,JVST,['WR'],['9'],['99'],['11.0'],['23'],['1']
Dominic Richardson,BAY,['RB'],['12'],['99'],['8.3'],['18'],['0']
JoJo Earle,TCU,['WR'],['9'],['99'],['11.0'],['20'],['1']
Tyler Morris,MICH,['WR'],['8'],['99'],['12.4'],['23'],['0']
Ja'Cyais Credle,GAST,['WR'],['11'],['99'],['9.0'],['16'],['0']
Bobby Golden,AKR,['WR'],['13'],['99'],['7.6'],['22'],['0']
Jamarye Joiner,JVST,['WR'],['9'],['98'],['10.9'],['22'],['0']
Luke Doty,SC,['QB'],['10'],['98'],['9.8'],['36'],['1']
Myles Bailey,CMU,['RB'],['12'],['98'],['8.2'],['23'],['0']
Sedrick Alexander,VAN,['RB'],['12'],['98'],['8.2'],['21'],['0']
Dylan Sampson,TENN,['RB'],['8'],['98'],['12.3'],['37'],['1']
Trey Benson,FSU,['RB'],['12'],['97'],['8.1'],['29'],['0']
Hudson Habermehl,UCLA,['TE'],['4'],['97'],['24.3'],['45'],['0']
Marcus Bellon,UTEP,['WR'],['10'],['97'],['9.7'],['20'],['0']
Andy Jean,FLA,['WR'],['6'],['97'],['16.2'],['32'],['0']
Kenny Johnson,PITT,['WR'],['8'],['97'],['12.1'],['34'],['1']
Dallas Payne,UAB,['TE'],['10'],['97'],['9.7'],['22'],['0']
Johnny Langan,RUTG,['TE'],['12'],['96'],['8.0'],['30'],['0']
Braelon Allen,WIS,['RB'],['23'],['96'],['4.2'],['12'],['0']
Dillon Johnson,WASH,['RB'],['13'],['96'],['7.4'],['20'],['0']
Josh Cameron,BAY,['WR'],['8'],['96'],['12.0'],['24'],['0']
Kaleo Ballungay,UNLV,['TE'],['4'],['95'],['23.8'],['39'],['0']
Tyrell Henry,MSU,['WR'],['10'],['95'],['9.5'],['19'],['2']
Creed Whittemore,MSST,['WR'],['10'],['95'],['9.5'],['33'],['2']
Alec Holler,UCF,['TE'],['9'],['94'],['10.4'],['21'],['2']
Devin Mockobee,PUR,['RB'],['14'],['94'],['6.7'],['24'],['0']
Jhari Patterson,ECU,['WR'],['12'],['94'],['7.8'],['30'],['0']
Seth Anderson,IOWA,['WR'],['7'],['94'],['13.4'],['36'],['1']
Casey Reynolds,ARMY,['WR'],['9'],['94'],['10.4'],['27'],['0']
Rweha Munyagi Jr.,ORST,['WR'],['4'],['93'],['23.3'],['35'],['1']
Audric Estime,ND,['RB'],['11'],['93'],['8.5'],['22'],['0']
Alex Bauman,TULN,['TE'],['15'],['93'],['6.2'],['21'],['3']
Max Wright,TA&M,['TE'],['8'],['92'],['11.5'],['20'],['0']
C'Bo Flemister,PITT,['RB'],['5'],['92'],['18.4'],['61'],['1']
Kenny Tracy,M-OH,['RB'],['8'],['92'],['11.5'],['39'],['1']
La'Damian Webb,USA,['RB'],['14'],['92'],['6.6'],['19'],['0']
Cash Jones,UGA,['RB'],['11'],['92'],['8.4'],['27'],['1']
Dawson Pendergrass,BAY,['RB'],['8'],['92'],['11.5'],['25'],['0']
Matthew Coleman,SJSU,['WR'],['9'],['92'],['10.2'],['29'],['0']
Stacy Sneed,HOU,['RB'],['12'],['91'],['7.6'],['58'],['1']
Thomaz Whitford,NMSU,['TE'],['8'],['91'],['11.4'],['20'],['2']
Malik Benson,ALA,['WR'],['8'],['91'],['11.4'],['27'],['0']
Tyquan Henderson,USM,['WR'],['8'],['91'],['11.4'],['18'],['1']
Liam Clifford,PSU,['WR'],['9'],['90'],['10.0'],['33'],['0']
Weston Wolff,USF,['TE'],['11'],['90'],['8.2'],['17'],['0']
Reese Clark,TEM,['TE'],['11'],['90'],['8.2'],['28'],['1']
Dominic Dutton,ODU,['WR'],['4'],['90'],['22.5'],['40'],['2']
Thomas Yassmin,UTAH,['TE'],['8'],['89'],['11.1'],['41'],['1']
Treshaun Ward,KSU,['RB'],['10'],['89'],['8.9'],['33'],['2']
Jaden Dottin,TOL,['WR'],['8'],['89'],['11.1'],['16'],['0']
Dont'e Thornton Jr.,TENN,['WR'],['7'],['89'],['12.7'],['43'],['0']
Gamarion Carter,VAN,['WR'],['3'],['89'],['29.7'],['41'],['0']
Craig Burt Jr.,WKU,['WR'],['10'],['89'],['8.9'],['27'],['0']
Jaylon Jackson,EMU,['RB'],['9'],['89'],['9.9'],['23'],['0']
Devin Culp,WASH,['TE'],['7'],['88'],['12.6'],['30'],['0']
Patrick Herbert,ORE,['TE'],['9'],['88'],['9.8'],['23'],['1']
Gavin Blackwell,UNC,['WR'],['6'],['88'],['14.7'],['38'],['0']
Josh Henderson,IU,['RB'],['6'],['88'],['14.7'],['22'],['0']
Rico Barfield,BALL,['RB'],['6'],['88'],['14.7'],['27'],['1']
Jacob Fields,LT,['DB'],['9'],['88'],['9.8'],['20'],['0']
Carl Chester,TLSA,['WR'],['5'],['88'],['17.6'],['30'],['0']
Kay'Ron Lynch-Adams,MASS,['RB'],['13'],['87'],['6.7'],['21'],['0']
Justin Ball,VAN,['TE'],['11'],['87'],['7.9'],['27'],['1']
Trevor Etienne,FLA,['RB'],['12'],['87'],['7.3'],['14'],['0']
Juma Otoviano,RICE,['RB'],['11'],['86'],['7.8'],['35'],['0']
Kye Robichaux,BC,['RB'],['8'],['86'],['10.8'],['45'],['0']
Willie McCoy,UTSA,['WR'],['10'],['86'],['8.6'],['20'],['2']
Xavier Johnson,OSU,['WR'],['6'],['85'],['14.2'],['40'],['0']
MarShawn Lloyd,USC,['RB'],['7'],['85'],['12.1'],['54'],['0']
Kevin Davis,M-OH,['RB'],['7'],['85'],['12.1'],['43'],['0']
Jaydn Ott,CAL,['RB'],['11'],['85'],['7.7'],['48'],['1']
Koby Duru,LT,['WR'],['6'],['84'],['14.0'],['53'],['2']
Jordan Waters,DUKE,['RB'],['6'],['84'],['14.0'],['25'],['0']
Tyrone Broden,ARK,['WR'],['9'],['84'],['9.3'],['19'],['1']
Joshua Simon,SC,['TE'],['10'],['84'],['8.4'],['33'],['1']
Kentrel Bullock,USA,['RB'],['10'],['84'],['8.4'],['30'],['1']
Ahmon Green,GAST,['TE'],['11'],['84'],['7.6'],['24'],['2']
Sam Roush,STAN,['TE'],['9'],['84'],['9.3'],['18'],['0']
Joshua Thompson,GASO,['WR'],['2'],['84'],['42.0'],['43'],['0']
Josiah Johnson,OKST,['TE'],['11'],['83'],['7.5'],['18'],['0']
Brian Hightower,CAL,['WR'],['9'],['83'],['9.2'],['20'],['0']
Noah Frith,LIB,['WR'],['7'],['83'],['11.9'],['29'],['0']
Brandon Buckhaulter,UAB,['WR'],['3'],['83'],['27.7'],['75'],['1']
Jackson McDonald,FIU,['TE'],['8'],['83'],['10.4'],['23'],['0']
Rashod Dubinion,ARK,['RB'],['13'],['83'],['6.4'],['26'],['1']
Martin Blake,SDSU,['RB'],['7'],['83'],['11.9'],['29'],['0']
Richie Hoskins,VAN,['WR'],['6'],['83'],['13.8'],['27'],['2']
Logan Diggs,LSU,['RB'],['8'],['82'],['10.3'],['18'],['0']
Antonio Gates Jr.,MSU,['WR'],['5'],['82'],['16.4'],['45'],['1']
Cameron Ball,BUFF,['TE'],['8'],['82'],['10.3'],['32'],['0']
Cade Harris,AFA,['WR'],['2'],['82'],['41.0'],['54'],['1']
CC Ezirim,TOL,['TE'],['4'],['82'],['20.5'],['35'],['0']
Sean Shaw Jr.,TXST,['WR'],['10'],['81'],['8.1'],['14'],['0']
Nathaniel Peat,MIZ,['RB'],['6'],['81'],['13.5'],['49'],['1']
Javonte Sherman,MTSU,['WR'],['8'],['81'],['10.1'],['17'],['0']
Darius Taylor,MINN,['RB'],['9'],['81'],['9.0'],['25'],['0']
Bryce Pierre,ASU,['TE'],['12'],['81'],['6.8'],['15'],['0']
Nathan Carter,MSU,['RB'],['12'],['80'],['6.7'],['21'],['0']
Cooper Rusk,TOL,['WR'],['6'],['80'],['13.3'],['33'],['2']
Hayden Rucci,WIS,['TE'],['7'],['79'],['11.3'],['45'],['0']
Aidan Bitter,ISU,['WR'],['5'],['79'],['15.8'],['45'],['0']
Josh Williams,LSU,['RB'],['5'],['79'],['15.8'],['38'],['1']
Preston Howard,MD,['TE'],['6'],['79'],['13.2'],['33'],['0']
Ryan Rivera,LT,['TE'],['6'],['78'],['13.0'],['18'],['0']
Perris Jones,UVA,['RB'],['3'],['78'],['26.0'],['60'],['0']
Isaah Crocker,NEV,['WR'],['3'],['78'],['26.0'],['55'],['1']
Isaiah Hamilton,WSU,['WR'],['7'],['78'],['11.1'],['39'],['1']
Noah Whittington,ORE,['RB'],['10'],['78'],['7.8'],['31'],['0']
Thomas Gordon,NU,['TE'],['8'],['78'],['9.8'],['18'],['1']
Marcus Burke,FLA,['WR'],['5'],['78'],['15.6'],['37'],['0']
Talyn Shettron,OKST,['WR'],['6'],['78'],['13.0'],['19'],['0']
Rueben Owens,TA&M,['RB'],['7'],['78'],['11.1'],['26'],['0']
Mason Williams,OHIO,['TE'],['3'],['78'],['26.0'],['34'],['1']
Kordell David,NMSU,['WR'],['8'],['78'],['9.8'],['19'],['0']
Jake Roberts,BAY,['TE'],['12'],['77'],['6.4'],['15'],['1']
Devin Voisin,USA,['WR'],['5'],['77'],['15.4'],['29'],['1']
Malik Sherrod,FRES,['RB'],['13'],['77'],['5.9'],['29'],['0']
Matt Lauter,BOIS,['TE'],['4'],['77'],['19.3'],['59'],['0']
Nathan Kent,NAVY,['WR'],['4'],['77'],['19.3'],['35'],['1']
Tyshawn Russell,SC,['WR'],['4'],['77'],['19.3'],['50'],['1']
Jordan Smith,NMSU,['WR'],['6'],['77'],['12.8'],['29'],['0']
Jacob Warren,TENN,['TE'],['9'],['75'],['8.3'],['14'],['3']
Marcus Major,OU,['RB'],['12'],['75'],['6.3'],['27'],['1']
Jonathan Odom,FLA,['TE'],['9'],['75'],['8.3'],['23'],['0']
Monte Watkins,NMSU,['RB'],['7'],['75'],['10.7'],['39'],['1']
Clayton Ollendieck,TROY,['TE'],['6'],['75'],['12.5'],['27'],['0']
Ethan Conner,TROY,['TE'],['6'],['75'],['12.5'],['19'],['2']
Ife Adeyi,SHSU,['WR'],['7'],['74'],['10.6'],['26'],['0']
Ulysses Bentley IV,MISS,['RB'],['7'],['74'],['10.6'],['25'],['1']
Giles Jackson,WASH,['WR'],['9'],['74'],['8.2'],['26'],['1']
Jaylon Barden,GASO,['WR'],['8'],['74'],['9.3'],['23'],['0']
Dylan Leonard,GT,['TE'],['6'],['74'],['12.3'],['23'],['0']
Markeston Douglas,FSU,['TE'],['6'],['74'],['12.3'],['42'],['1']
Cam Porter,NU,['RB'],['13'],['74'],['5.7'],['17'],['0']
Malik Jackson,JVST,['RB'],['13'],['73'],['5.6'],['16'],['0']
Le'Meke Brockington,MINN,['WR'],['5'],['73'],['14.6'],['25'],['1']
Keagan Johnson,KSU,['WR'],['8'],['73'],['9.1'],['20'],['0']
Jehlani Galloway,WMU,['WR'],['13'],['72'],['5.5'],['19'],['0']
Ali Jennings,VT,['WR'],['5'],['72'],['14.4'],['44'],['2']
Jase McClellan,ALA,['RB'],['10'],['72'],['7.2'],['19'],['0']
Tahj Brooks,TTU,['RB'],['14'],['72'],['5.1'],['12'],['0']
Frank Gore Jr.,USM,['RB'],['12'],['72'],['6.0'],['20'],['1']
Malcolm Johnson Jr.,AUB,['WR'],['3'],['72'],['24.0'],['30'],['0']
Kaydin Pope,UNM,['WR'],['5'],['72'],['14.4'],['46'],['1']
Gavin Freeman,OU,['WR'],['14'],['72'],['5.1'],['13'],['1']
John Humphreys,STAN,['WR'],['5'],['71'],['14.2'],['31'],['1']
Will Nixon,WASH,['RB'],['9'],['71'],['7.9'],['18'],['0']
Evan Prater,CIN,['WR'],['8'],['71'],['8.9'],['14'],['0']
Malik McClain,PSU,['WR'],['6'],['71'],['11.8'],['25'],['1']
Hykeem Williams,FSU,['WR'],['4'],['71'],['17.8'],['44'],['1']
Tucker Ashcraft,WIS,['TE'],['5'],['71'],['14.2'],['24'],['1']
Drake Anderson,AKR,['RB'],['14'],['70'],['5.0'],['15'],['1']
Baylor Cupp,TTU,['TE'],['7'],['70'],['10.0'],['18'],['2']
Chance Morrow,BUFF,['WR'],['4'],['70'],['17.5'],['29'],['0']
Jaquaize Pettaway,OU,['WR'],['11'],['70'],['6.4'],['13'],['0']
Brock Lampe,NIU,['FB'],['5'],['70'],['14.0'],['26'],['0']
Austin Stogner,OU,['TE'],['8'],['69'],['8.6'],['19'],['0']
Bradley Archer,IU,['TE'],['5'],['69'],['13.8'],['24'],['0']
Trevor Kardell,KU,['TE'],['5'],['69'],['13.8'],['20'],['1']
Easton Dean,ISU,['TE'],['10'],['68'],['6.8'],['15'],['1']
Jalen Hale,ALA,['WR'],['3'],['68'],['22.7'],['33'],['1']
Dimitri Stanley,ISU,['WR'],['9'],['67'],['7.4'],['12'],['0']
Arian Smith,UGA,['WR'],['4'],['67'],['16.8'],['37'],['1']
Isaac Jernagin,SJSU,['WR'],['8'],['67'],['8.4'],['34'],['0']
E.J. Smith,STAN,['RB'],['10'],['67'],['6.7'],['22'],['0']
Isaiah Essissima,NEV,['CB'],['2'],['67'],['33.5'],['43'],['0']
Oronde Gadsden II,SYR,['TE'],['7'],['67'],['9.6'],['17'],['1']
Peyton Higgins,TROY,['WR'],['4'],['67'],['16.8'],['32'],['0']
Frank Peasant,MTSU,['RB'],['7'],['67'],['9.6'],['21'],['0']
Robert Henry,UTSA,['RB'],['12'],['67'],['5.6'],['14'],['0']
Brevyn Spann-Ford,MINN,['TE'],['13'],['66'],['5.1'],['15'],['0']
Phil Mafah,CLEM,['RB'],['12'],['66'],['5.5'],['13'],['0']
Elijah Young,WKU,['RB'],['9'],['66'],['7.3'],['43'],['1']
Timothy Conerly,UNLV,['WR'],['6'],['66'],['11.0'],['23'],['0']
OJ Arnold,GASO,['RB'],['8'],['66'],['8.3'],['21'],['0']
Traylon Ray,WVU,['WR'],['7'],['66'],['9.4'],['35'],['1']
Ayden Williams,MISS,['WR'],['3'],['66'],['22.0'],['43'],['0']
Tawee Walker,OU,['RB'],['7'],['66'],['9.4'],['16'],['0']
Chris Carter,TULN,['TE'],['6'],['65'],['10.8'],['18'],['0']
Sean Dollars,NEV,['RB'],['14'],['65'],['4.6'],['26'],['0']
Avery Boyd,GT,['WR'],['4'],['65'],['16.3'],['31'],['2']
Michael Trigg,MISS,['TE'],['4'],['65'],['16.3'],['21'],['1']
Jadarian Price,ND,['RB'],['5'],['65'],['13.0'],['40'],['1']
Jarquez Hunter,AUB,['RB'],['7'],['65'],['9.3'],['47'],['0']
Mekhi Miller,MIZ,['WR'],['5'],['65'],['13.0'],['31'],['1']
Hank Beatty,ILL,['WR'],['8'],['65'],['8.1'],['26'],['0']
Juice Vereen,NCSU,['TE'],['4'],['65'],['16.3'],['22'],['0']
Barry Jackson Jr.,CIN,['WR'],['1'],['65'],['65.0'],['65'],['1']
Luke McGary,TLSA,['TE'],['5'],['65'],['13.0'],['24'],['2']
Jeffery Pittman,MSST,['RB'],['5'],['65'],['13.0'],['29'],['2']
George Takacs,BC,['TE'],['6'],['64'],['10.7'],['27'],['1']
Daijun Edwards,UGA,['RB'],['8'],['64'],['8.0'],['12'],['0']
Dontae Fleming,TULN,['WR'],['4'],['64'],['16.0'],['39'],['0']
Le'Veon Moss,TA&M,['RB'],['7'],['64'],['9.1'],['19'],['0']
Carson Steele,UCLA,['RB'],['9'],['64'],['7.1'],['16'],['1']
Jacob Kibodi,UL,['RB'],['4'],['63'],['15.8'],['37'],['1']
Isaiah Jacobs,UAB,['RB'],['17'],['63'],['3.7'],['13'],['0']
Jacory Croskey-Merritt,UNM,['RB'],['4'],['63'],['15.8'],['31'],['0']
Kelsey Johnson,BAY,['TE'],['6'],['63'],['10.5'],['21'],['0']
Jordan Nabors,BAY,['WR'],['4'],['63'],['15.8'],['43'],['0']
Anwar Lewis,JVST,['RB'],['7'],['63'],['9.0'],['19'],['0']
Deion Smith,BYU,['RB'],['5'],['62'],['12.4'],['37'],['1']
Riley Sharp,ORST,['TE'],['4'],['62'],['15.5'],['22'],['1']
Taji Hudson,JMU,['WR'],['6'],['62'],['10.3'],['32'],['0']
Brenen Thompson,OU,['WR'],['2'],['62'],['31.0'],['54'],['0']
Otto Tia,USU,['WR'],['5'],['62'],['12.4'],['37'],['0']
CJ Baxter,TEX,['RB'],['11'],['62'],['5.6'],['15'],['0']
Cody Schrader,MIZ,['RB'],['12'],['61'],['5.1'],['9'],['0']
Vincent Davis Jr.,UNLV,['RB'],['4'],['61'],['15.3'],['27'],['1']
Giovanni Sanders,ASU,['WR'],['9'],['61'],['6.8'],['12'],['0']
Jaylen Jenkins,WSU,['RB'],['6'],['61'],['10.2'],['22'],['0']
Stephan Bracey Jr.,CMU,['WR'],['9'],['60'],['6.7'],['24'],['0']
Michel Dukes,USF,['RB'],['5'],['60'],['12.0'],['39'],['0']
Blake Corum,MICH,['RB'],['8'],['60'],['7.5'],['20'],['0']
Logan Kyle,VAN,['TE'],['7'],['60'],['8.6'],['28'],['0']
Keshawn Wicks,ODU,['RB'],['9'],['60'],['6.7'],['12'],['1']
Kyirin Heath,MISS,['TE'],['4'],['60'],['15.0'],['21'],['0']
Ashton Hollins,ILL,['WR'],['5'],['60'],['12.0'],['30'],['0']
Karsyn Pupunu,HAW,['WR'],['4'],['60'],['15.0'],['33'],['0']
Liam Fortner,ARMY,['WR'],['2'],['60'],['30.0'],['53'],['0']
Malcolm Gillie,BALL,['WR'],['7'],['60'],['8.6'],['12'],['0']
Devontae Houston,CONN,['RB'],['4'],['59'],['14.8'],['37'],['1']
Aaron Anderson,LSU,['WR'],['12'],['59'],['4.9'],['14'],['0']
Jeremiah Franklin,BC,['TE'],['5'],['59'],['11.8'],['30'],['1']
John Emery Jr.,LSU,['RB'],['3'],['58'],['19.3'],['49'],['0']
Raheim Sanders,ARK,['RB'],['7'],['58'],['8.3'],['38'],['0']
Zach Fryar,UTEP,['TE'],['7'],['58'],['8.3'],['19'],['1']
Damien Martinez,ORST,['RB'],['6'],['58'],['9.7'],['16'],['0']
DJ Riles,MTSU,['QB'],['4'],['58'],['14.5'],['42'],['1']
Brandon Inniss,OSU,['WR'],['1'],['58'],['58.0'],['58'],['1']
Jaylon Griffin,UCF,['WR'],['4'],['58'],['14.5'],['36'],['1']
Kamrean Johnson,VAN,['TE'],['6'],['58'],['9.7'],['17'],['2']
Destyn Hill,FSU,['WR'],['5'],['58'],['11.6'],['30'],['0']
Antonio Harmon,MSST,['TE'],['8'],['57'],['7.1'],['17'],['1']
Darion Williamson,FSU,['WR'],['5'],['57'],['11.4'],['19'],['1']
Javon Ivory,USA,['WR'],['9'],['57'],['6.3'],['17'],['0']
Payten Singletary,CIN,['TE'],['6'],['57'],['9.5'],['32'],['2']
Armani Winfield,BAY,['WR'],['4'],['57'],['14.3'],['29'],['0']
Jared Casey,KU,['TE'],['5'],['57'],['11.4'],['24'],['1']
Myles Walker,AKR,['WR'],['7'],['57'],['8.1'],['16'],['1']
Luke Benson,GT,['TE'],['5'],['56'],['11.2'],['38'],['0']
Kevens Clercius,CONN,['WR'],['5'],['56'],['11.2'],['25'],['1']
Billy Riviere III,WSU,['TE'],['5'],['56'],['11.2'],['18'],['0']
Jordan Faison,ND,['WR'],['4'],['56'],['14.0'],['36'],['1']
Samson Evans,EMU,['RB'],['8'],['55'],['6.9'],['13'],['0']
Tre Bradford,LSU,['RB'],['1'],['55'],['55.0'],['55'],['0']
Houston Thomas,UTSA,['TE'],['4'],['55'],['13.8'],['20'],['0']
Amari Daniels,TA&M,['RB'],['8'],['55'],['6.9'],['14'],['0']
Rocky Beers,FIU,['TE'],['6'],['55'],['9.2'],['16'],['0']
Steven Stilianos,IOWA,['TE'],['5'],['54'],['10.8'],['21'],['0']
JoVoni Johnson-McCray,RICE,['WR'],['3'],['54'],['18.0'],['23'],['0']
Troy Omeire,ASU,['WR'],['4'],['54'],['13.5'],['27'],['2']
Omarion Dollison,JMU,['WR'],['1'],['54'],['54.0'],['54'],['1']
Austin Jones,USC,['RB'],['5'],['54'],['10.8'],['24'],['0']
Aaron Turner,CIN,['WR'],['9'],['54'],['6.0'],['17'],['1']
Kendrick Law,ALA,['WR'],['5'],['54'],['10.8'],['34'],['0']
Jordan Johnson,HAW,['RB'],['9'],['54'],['6.0'],['17'],['0']
Ay'Jaun Marshall,ARMY,['WR'],['4'],['54'],['13.5'],['20'],['0']
Davis Dalton,USM,['WR'],['5'],['54'],['10.8'],['22'],['0']
Shane Johnson,SHSU,['WR'],['5'],['54'],['10.8'],['19'],['0']
Jake Newell,AKR,['TE'],['7'],['54'],['7.7'],['14'],['0']
Ja'shon Benjamin,RUTG,['RB'],['4'],['54'],['13.5'],['33'],['1']
Darrell Gill Jr.,SYR,['WR'],['6'],['54'],['9.0'],['18'],['1']
Mike O'Laughlin,HOU,['TE'],['8'],['53'],['6.6'],['9'],['0']
Chris Mottillo,MRSH,['TE'],['4'],['53'],['13.3'],['20'],['0']
P.J. Wells,JVST,['WR'],['5'],['53'],['10.6'],['23'],['0']
Joshua Nicholson,SDSU,['WR'],['4'],['53'],['13.3'],['21'],['1']
Miller McCrumby,ARST,['TE'],['4'],['53'],['13.3'],['21'],['0']
Joey Gatewood,LOU,['TE'],['2'],['52'],['26.0'],['34'],['1']
Dominic Gicinto,UNLV,['WR'],['3'],['52'],['17.3'],['25'],['0']
Landon Parker,TROY,['WR'],['3'],['52'],['17.3'],['26'],['0']
Gi'Bran Payne,ND,['RB'],['8'],['52'],['6.5'],['42'],['2']
Brandon Frazier,AUB,['TE'],['3'],['52'],['17.3'],['39'],['1']
Malik Elzy,ILL,['WR'],['5'],['52'],['10.4'],['19'],['1']
Anton Hall Jr.,NAVY,['RB'],['3'],['52'],['17.3'],['45'],['1']
Keegan Jones,UCLA,['WR'],['4'],['51'],['12.8'],['26'],['0']
Loic Fouonji,TTU,['WR'],['3'],['51'],['17.0'],['25'],['1']
Corey Kiner,CIN,['RB'],['11'],['51'],['4.6'],['16'],['0']
Ja'Varrius Johnson,AUB,['WR'],['5'],['51'],['10.2'],['33'],['0']
Tyrese Chambers,MD,['WR'],['7'],['51'],['7.3'],['12'],['1']
Nate Noel,APP,['RB'],['10'],['51'],['5.1'],['15'],['0']
Nate Boerkircher,NEB,['TE'],['5'],['51'],['10.2'],['17'],['0']
Jaquez Moore,DUKE,['RB'],['3'],['51'],['17.0'],['28'],['0']
Victor Rosa,CONN,['RB'],['7'],['51'],['7.3'],['16'],['0']
Landon Sims,HAW,['RB'],['7'],['51'],['7.3'],['17'],['0']
Lee Beebe,UAB,['RB'],['9'],['51'],['5.7'],['17'],['0']
Isaiah Ifanse,CAL,['RB'],['8'],['50'],['6.3'],['18'],['1']
Jalen McGaughy,CMU,['WR'],['4'],['50'],['12.5'],['20'],['0']
Mershawn Rice,PUR,['WR'],['3'],['50'],['16.7'],['35'],['0']
James Bomba,IU,['TE'],['5'],['50'],['10.0'],['15'],['0']
Sam Scott,WYO,['RB'],['6'],['50'],['8.3'],['18'],['0']
Sutton Smith,MEM,['RB'],['10'],['50'],['5.0'],['19'],['0']
Xavier Irvin,TEM,['WR'],['3'],['50'],['16.7'],['28'],['0']
CJ Donaldson Jr.,WVU,['RB'],['7'],['50'],['7.1'],['18'],['0']
Terrell McDonald,UAB,['TE'],['5'],['49'],['9.8'],['26'],['0']
Tyler Stephens,MIZ,['TE'],['5'],['49'],['9.8'],['20'],['0']
Leshon Williams,IOWA,['RB'],['7'],['49'],['7.0'],['25'],['1']
Jack Bradley,RICE,['TE'],['4'],['49'],['12.3'],['41'],['1']
Jaden Walley,MSST,['WR'],['5'],['49'],['9.8'],['19'],['1']
Malachi Coleman,NEB,['WR'],['2'],['49'],['24.5'],['44'],['1']
Jaden Gibson,UVA,['WR'],['4'],['49'],['12.3'],['23'],['0']
Donerio Davenport,TXST,['RB'],['6'],['49'],['8.2'],['27'],['1']
Blake Nowell,TCU,['WR'],['5'],['48'],['9.6'],['20'],['1']
David Larkins,APP,['TE'],['7'],['48'],['6.9'],['15'],['3']
Ja'Quez Cross,ARST,['RB'],['11'],['48'],['4.4'],['13'],['0']
Nate Kurisky,LOU,['TE'],['6'],['48'],['8.0'],['16'],['1']
Mitchel Collier,CMU,['TE'],['6'],['48'],['8.0'],['13'],['0']
Adrian Norton,AKR,['WR'],['5'],['48'],['9.6'],['17'],['0']
Devin Maddox,TOL,['WR'],['9'],['47'],['5.2'],['17'],['1']
Jere Getzinger,EMU,['TE'],['11'],['47'],['4.3'],['9'],['0']
