Player,School,POS,ATT,YDS,AVG,LNG,TD
Joquez Smith,TEM,['RB'],['63'],['299'],['4.7'],['51'],['1']
Tyrone Tracy Jr.,PUR,['RB'],['50'],['296'],['5.9'],['24'],['5']
TreVeyon Henderson,OSU,['RB'],['44'],['295'],['6.7'],['61'],['5']
Sean Dollars,NEV,['RB'],['89'],['290'],['3.3'],['33'],['3']
Will Howard,KSU,['QB'],['45'],['289'],['6.4'],['70'],['6']
Kanye Udoh,ARMY,['RB'],['53'],['288'],['5.4'],['23'],['1']
Amari Daniels,TA&M,['RB'],['53'],['287'],['5.4'],['79'],['2']
C'Bo Flemister,PITT,['RB'],['68'],['282'],['4.1'],['38'],['2']
Brennan Armstrong,NCSU,['QB'],['70'],['281'],['4.0'],['14'],['3']
Ty Son Lawton,JMU,['RB'],['60'],['279'],['4.7'],['28'],['4']
Kaleb Johnson,IOWA,['RB'],['74'],['278'],['3.8'],['67'],['2']
Gavin Williams,NIU,['RB'],['55'],['277'],['5.0'],['53'],['3']
Kanye Roberts,APP,['RB'],['56'],['275'],['4.9'],['35'],['2']
Nathaniel Peat,MIZ,['RB'],['62'],['274'],['4.4'],['19'],['2']
Camryn Edwards,CONN,['RB'],['55'],['273'],['5.0'],['39'],['1']
Dre'lyn Washington,UL,['RB'],['41'],['272'],['6.6'],['62'],['1']
Pat Garwo III,BC,['RB'],['52'],['270'],['5.2'],['50'],['1']
Myles Montgomery,CIN,['RB'],['43'],['267'],['6.2'],['38'],['2']
Trey Cooley,GT,['RB'],['62'],['266'],['4.3'],['23'],['3']
Parker Jenkins,HOU,['RB'],['56'],['265'],['4.7'],['31'],['3']
Eli Sanders,ISU,['RB'],['59'],['263'],['4.5'],['29'],['2']
Jeremiyah Love,ND,['RB'],['39'],['263'],['6.7'],['36'],['1']
Oscar Adaway III,UNT,['RB'],['60'],['260'],['4.3'],['43'],['3']
Rashod Dubinion,ARK,['RB'],['79'],['260'],['3.3'],['15'],['1']
Robert Briggs Jr.,USU,['RB'],['53'],['260'],['4.9'],['58'],['1']
Marion Lukes,CMU,['RB'],['72'],['260'],['3.6'],['25'],['2']
Payton Thorne,AUB,['QB'],['61'],['259'],['4.2'],['61'],['2']
Kenan Christon,SDSU,['RB'],['69'],['257'],['3.7'],['22'],['0']
Jaylon Armstead,SDSU,['RB'],['60'],['257'],['4.3'],['48'],['5']
Chip Trayanum,OSU,['RB'],['60'],['257'],['4.3'],['40'],['3']
Patrick Smith,VAN,['RB'],['63'],['257'],['4.1'],['40'],['2']
Reggie Love III,ILL,['RB'],['51'],['257'],['5.0'],['61'],['1']
Jaylon Glover,UTAH,['RB'],['71'],['256'],['3.6'],['21'],['2']
Dominic Richardson,BAY,['RB'],['63'],['255'],['4.0'],['32'],['0']
Daba Fofana,NAVY,['FB'],['54'],['255'],['4.7'],['20'],['1']
Logan Smothers,JVST,['QB'],['65'],['253'],['3.9'],['41'],['6']
AJ Green,ARK,['RB'],['42'],['252'],['6.0'],['55'],['2']
Lawrance Toafili,FSU,['RB'],['35'],['251'],['7.2'],['50'],['2']
Dylan Edwards,COLO,['RB'],['54'],['250'],['4.6'],['34'],['1']
Isaiah Jacobs,UAB,['RB'],['55'],['249'],['4.5'],['26'],['3']
Rahjai Harris,ECU,['RB'],['76'],['249'],['3.3'],['21'],['4']
Chandler Morris,TCU,['QB'],['45'],['249'],['5.5'],['32'],['3']
Rodney Hammond Jr.,PITT,['RB'],['60'],['247'],['4.1'],['23'],['3']
Jaylin Lucas,IU,['RB'],['55'],['247'],['4.5'],['25'],['2']
DJ Williams,ARIZ,['RB'],['55'],['246'],['4.5'],['17'],['2']
Jordan Ford,TLSA,['RB'],['62'],['246'],['4.0'],['22'],['1']
Jiya Wright,ULM,['QB'],['64'],['246'],['3.8'],['44'],['1']
Jaylen Raynor,ARST,['QB'],['61'],['246'],['4.0'],['62'],['2']
Damien Taylor,TROY,['RB'],['40'],['242'],['6.1'],['45'],['1']
Kobe Pace,UVA,['RB'],['70'],['241'],['3.4'],['22'],['1']
Richard Reese,BAY,['RB'],['52'],['241'],['4.6'],['28'],['2']
Keith Willis Jr.,LT,['RB'],['33'],['240'],['7.3'],['68'],['3']
Anthony Hankerson,COLO,['RB'],['56'],['239'],['4.3'],['20'],['1']
Tawee Walker,OU,['RB'],['53'],['239'],['4.5'],['30'],['4']
Darvon Hubbard,TEM,['RB'],['51'],['236'],['4.6'],['21'],['2']
Vann Schield,CSU,['RB'],['53'],['236'],['4.5'],['52'],['3']
Joe Milton III,TENN,['QB'],['47'],['232'],['4.9'],['81'],['4']
Markese Stepp,WKU,['RB'],['47'],['232'],['4.9'],['56'],['2']
Sione Vaki,UTAH,['S'],['25'],['232'],['9.3'],['72'],['2']
Dillon Gabriel,OU,['QB'],['53'],['230'],['4.3'],['44'],['5']
Taylen Green,BOIS,['QB'],['43'],['230'],['5.3'],['21'],['4']
Michael Allen,NCSU,['RB'],['43'],['230'],['5.3'],['37'],['1']
Zak Wallace,ARST,['RB'],['70'],['229'],['3.3'],['17'],['1']
Isaiah Johnson,UNT,['RB'],['37'],['229'],['6.2'],['28'],['3']
Christian Turner,IU,['RB'],['52'],['227'],['4.4'],['17'],['2']
Antwain Littleton II,MD,['RB'],['54'],['227'],['4.2'],['32'],['2']
Mason Garcia,ECU,['QB'],['50'],['227'],['4.5'],['57'],['2']
Avery Johnson,KSU,['QB'],['39'],['227'],['5.8'],['30'],['6']
Aaron Bedgood,LIB,['WR'],['28'],['226'],['8.1'],['49'],['2']
Beau Pribula,PSU,['QB'],['34'],['225'],['6.6'],['31'],['3']
Sedrick Alexander,VAN,['RB'],['58'],['225'],['3.9'],['27'],['4']
Jase Bauer,CMU,['QB'],['70'],['223'],['3.2'],['21'],['7']
Sean Tyler,MINN,['RB'],['55'],['222'],['4.0'],['19'],['0']
Austin Jones,USC,['RB'],['41'],['221'],['5.4'],['37'],['4']
Colby McDonald,MD,['RB'],['32'],['221'],['6.9'],['35'],['2']
Donerio Davenport,TXST,['RB'],['50'],['220'],['4.4'],['22'],['1']
Cartevious Norton,ISU,['RB'],['61'],['218'],['3.6'],['20'],['0']
CJ Baxter,TEX,['RB'],['50'],['217'],['4.3'],['32'],['2']
DJ Irons,AKR,['QB'],['61'],['215'],['3.5'],['47'],['2']
Bill Jackson,TLSA,['RB'],['41'],['215'],['5.2'],['25'],['0']
Ajay Allen,MIA,['RB'],['47'],['215'],['4.6'],['16'],['3']
Charvis Thornton,LT,['RB'],['49'],['213'],['4.3'],['30'],['1']
Cam'Ron Valdez,TTU,['RB'],['29'],['212'],['7.3'],['54'],['1']
Kobe Lewis,FAU,['RB'],['40'],['211'],['5.3'],['58'],['1']
Donovan Edwards,MICH,['RB'],['66'],['211'],['3.2'],['14'],['1']
Stacy Sneed,HOU,['RB'],['40'],['211'],['5.3'],['58'],['1']
LJ Johnson Jr.,SMU,['RB'],['35'],['209'],['6.0'],['67'],['1']
Isaac Guerendo,LOU,['RB'],['52'],['207'],['4.0'],['25'],['3']
Casey Filkins,STAN,['RB'],['33'],['206'],['6.2'],['59'],['1']
Andrew Peasley,WYO,['QB'],['51'],['203'],['4.0'],['22'],['4']
Drake Maye,UNC,['QB'],['68'],['201'],['3.0'],['16'],['5']
KJ Jefferson,ARK,['QB'],['112'],['200'],['1.8'],['25'],['1']
Ashton Stredick,CAL,['RB'],['41'],['199'],['4.9'],['41'],['2']
K'Wan Powell,USF,['RB'],['56'],['199'],['3.6'],['27'],['1']
Anwar Lewis,JVST,['RB'],['43'],['199'],['4.6'],['26'],['1']
Mike Wright,MSST,['QB'],['31'],['198'],['6.4'],['53'],['3']
Jordan Johnson,HAW,['RB'],['34'],['198'],['5.8'],['28'],['0']
Jordan McCloud,JMU,['QB'],['45'],['197'],['4.4'],['47'],['3']
Kendall Milton,UGA,['RB'],['36'],['196'],['5.4'],['37'],['3']
Gabe Ervin Jr.,NEB,['RB'],['38'],['196'],['5.2'],['27'],['1']
Hayden Reed,ARMY,['RB'],['48'],['194'],['4.0'],['27'],['2']
Malachi Thomas,VT,['RB'],['53'],['193'],['3.6'],['18'],['0']
Terron Kellman,CLT,['RB'],['41'],['192'],['4.7'],['18'],['0']
Abu Sama III,ISU,['RB'],['38'],['192'],['5.1'],['55'],['1']
Michael Pratt,TULN,['QB'],['47'],['191'],['4.1'],['26'],['3']
Sutton Smith,MEM,['RB'],['39'],['190'],['4.9'],['16'],['2']
Shadrick Byrd,CLT,['RB'],['56'],['188'],['3.4'],['18'],['0']
Dawson Pendergrass,BAY,['RB'],['41'],['188'],['4.6'],['31'],['2']
British Brooks,UNC,['RB'],['48'],['187'],['3.9'],['29'],['1']
Tahj Gary,TLSA,['RB'],['33'],['187'],['5.7'],['40'],['2']
Javious Bond,ECU,['RB'],['28'],['187'],['6.7'],['39'],['1']
Elijah Young,WKU,['RB'],['47'],['186'],['4.0'],['27'],['1']
Marco Lee Jr.,USA,['RB'],['39'],['186'],['4.8'],['13'],['2']
Jahiem White,WVU,['RB'],['25'],['185'],['7.4'],['39'],['1']
Kurtis Rourke,OHIO,['QB'],['38'],['184'],['4.8'],['25'],['2']
Kenny Tracy,M-OH,['RB'],['35'],['184'],['5.3'],['42'],['2']
